,0
0,7.11688995361
1,4.18634605408
2,7.22278928757
3,8.01039600372
4,7.17560577393
5,6.30516338348
6,7.67019033432
7,5.45798444748
8,7.45971536636
9,5.31863498688
10,4.77627182007
11,3.5147459507
12,6.51936721802
13,2.85227131844
14,6.57735157013
15,5.24623250961
16,6.48926019669
17,7.53611326218
18,1.999969244
19,7.45481395721
20,7.65283679962
21,4.75307226181
22,3.19685220718
23,7.08644485474
24,5.4226808548
25,6.1152639389
26,5.38134860992
27,6.92126607895
28,6.38674688339
29,6.24831533432
30,3.95630884171
31,5.36357975006
32,5.74269342422
33,4.13230895996
34,4.63686418533
35,6.13035678864
36,7.09190559387
37,6.0292506218
38,0.961944758892
39,3.71278357506
40,5.59714126587
41,4.42038059235
42,2.73419332504
43,6.17790746689
44,4.75335979462
45,5.93392419815
46,5.46715164185
47,6.39232301712
48,5.05615949631
49,4.75817871094
50,6.20974445343
51,5.28775691986
52,4.81898546219
53,1.18666148186
54,6.05946588516
55,5.16365814209
56,5.46155452728
57,5.40570926666
58,6.85238838196
59,5.54553461075
60,5.57982635498
61,6.98292160034
62,4.0573348999
63,6.95332860947
64,8.05173683167
65,5.55061626434
66,6.97813796997
67,6.67009305954
68,5.66147279739
69,5.27714776993
70,4.56045436859
71,7.68099784851
72,5.65486955643
73,7.15247583389
74,5.68122434616
75,4.68556976318
76,7.36910533905
77,7.20567512512
78,6.41826581955
79,7.2468919754
80,3.8315114975
81,3.52952003479
82,4.57520389557
83,6.46872329712
84,3.45058751106
85,7.54125118256
86,6.76454973221
87,2.67451715469
88,5.15088748932
89,7.62257242203
90,6.19050693512
91,4.64541625977
92,3.24862647057
93,6.98796796799
94,6.68704748154
95,5.29236125946
96,5.09036684036
97,4.63451719284
98,7.43888616562
99,7.73634672165
100,1.47032630444
101,4.85328102112
102,6.78888177872
103,7.48252487183
104,7.94907045364
105,2.13112330437
106,2.88212585449
107,6.42243003845
108,2.04389929771
109,5.95635557175
110,7.54191923141
111,4.62158727646
112,6.87400197983
113,6.82674074173
114,4.68760061264
115,4.66309690475
116,6.09223461151
117,4.3498339653
118,3.52594518661
119,5.62955236435
120,5.7518415451
121,7.59203052521
122,7.65864801407
123,5.44621562958
124,5.35810804367
125,7.8609995842
