,0
0,7.2575
1,2.9625
2,7.35968755133
3,6.79002618173
4,7.22353943514
5,5.8321875
6,7.02711137983
7,6.1025
8,7.54269043032
9,4.67
10,4.8675
11,3.5025
12,6.505
13,2.66
14,6.26949010593
15,4.3325
16,7.3925
17,6.83724925543
18,1.9675
19,7.70487159667
20,7.57576902093
21,4.92744897959
22,2.6125
23,7.52327287424
24,5.34212508054
25,6.61402777778
26,5.6125
27,7.15357616678
28,5.775
29,5.89
30,3.8425
31,5.14
32,5.6875
33,4.2775
34,4.54
35,5.8475
36,7.5717995936
37,6.53742850379
38,2.7025
39,3.465
40,5.29
41,4.275
42,2.9775
43,6.21913793103
44,4.0575
45,5.175
46,4.9925
47,6.23101535088
48,4.97
49,4.2875
50,6.55903955212
51,5.2825
52,5.5475
53,2.55
54,5.5775
55,5.17742857143
56,5.285
57,5.60823294118
58,6.88820049736
59,5.1325
60,6.0125
61,6.9675
62,4.0275
63,7.025
64,7.73642286709
65,5.15
66,6.6475
67,6.81
68,5.4075
69,5.36725
70,4.26
71,7.92447539829
72,5.265
73,6.8365625
74,5.99753968254
75,4.71
76,7.16677939797
77,6.86201936061
78,5.56
79,7.18154614879
80,2.6825
81,3.3525
82,4.58423913043
83,6.0825
84,4.1675
85,7.45224831115
86,7.15342180453
87,2.47
88,5.36760162602
89,7.34198722676
90,5.90667883212
91,4.425
92,4.0925
93,7.29537904055
94,6.56
95,4.92
96,5.0775
97,4.215
98,7.46259793591
99,7.62434376521
100,1.905
101,5.0
102,6.305
103,7.14967961496
104,7.74783373422
105,1.975
106,2.815
107,6.52236519608
108,2.175
109,5.365
110,7.51629603482
111,4.0175
112,6.77131794
113,7.05504166667
114,5.6075
115,5.185
116,6.095
117,4.12
118,3.7225
119,6.22127987577
120,5.7775
121,7.96951117061
122,7.61091990814
123,5.5425
124,5.365
125,7.89603665659
126,3.255
127,7.29829546775
128,3.6875
129,1.935
130,4.53
131,7.49624386847
132,4.045
133,5.285
134,6.72741071429
135,7.77044903398
136,6.54
137,4.67
138,5.84605654762
139,3.2225
140,5.90257031704
141,4.3975
142,2.47
143,5.86686170213
144,7.21718878122
145,3.6725
146,4.3775
147,7.44398811648
148,4.535
149,3.45
150,4.5575
151,4.95
152,3.285
153,4.955
154,4.3225
155,5.89
156,7.17250992901
157,6.32166666667
158,6.33657106782
159,4.02
160,3.28
161,7.74
162,7.88562544151
163,5.975
164,7.52342076368
165,5.83978643967
166,3.2625
167,4.8475
168,6.95292339115
169,3.9075
170,6.27461711712
171,6.39979166667
172,5.68489130435
173,3.525
