,0
0,6.09054374695
1,6.13778877258
2,6.39610147476
3,7.72913122177
4,6.56877994537
5,6.74519538879
6,7.41158151627
7,5.40206193924
8,7.28672647476
9,5.7107334137
10,4.44050788879
11,5.463555336
12,6.930352211
13,3.52253913879
14,6.74180459976
15,3.750664711
16,5.94397497177
17,6.93759346008
18,2.03035163879
19,7.45178747177
20,7.31550788879
21,4.98677682877
22,4.59494018555
23,7.0446472168
24,6.16613578796
25,6.0085849762
26,5.7048740387
27,7.0056552887
28,6.44250297546
29,6.89131975174
30,6.78132820129
31,5.08360147476
32,6.05148124695
33,4.31571388245
34,4.39693307877
35,6.33273124695
36,7.100274086
37,5.76428747177
38,-0.577054977417
39,2.84482002258
40,5.40684366226
41,3.52193307877
42,2.7683506012
43,4.91903877258
44,3.80771064758
45,5.7322177887
46,5.5642490387
47,5.91001749039
48,6.0798740387
49,6.7556552887
50,5.64327812195
51,5.32919502258
52,5.0046787262
53,4.11238288879
54,6.23898124695
55,5.48153877258
56,5.93713188171
57,5.31856393814
58,6.98153877258
59,4.78048706055
60,5.465508461
61,6.59773445129
62,4.0290927887
63,6.84285163879
64,8.42099189758
65,5.3064365387
66,5.93518590927
67,6.5451335907
68,5.85275268555
69,5.72530412674
70,4.02060127258
71,7.7605381012
72,5.37350273132
73,6.83113288879
74,5.56750297546
75,5.92842912674
76,7.12411689758
77,6.82150268555
78,6.445977211
79,6.95552682877
80,4.83164834976
81,5.41760063171
82,4.85900688171
83,6.01864814758
84,3.64034318924
85,7.54207038879
86,6.16866350174
87,3.59532022476
88,5.13583564758
89,6.96252250671
90,5.92097663879
91,5.58255958557
92,2.67880439758
93,6.49670219421
94,6.52429008484
95,4.71724557877
96,5.94894218445
97,4.94210100174
98,7.53577184677
99,7.160820961
100,3.38937187195
101,5.63582038879
102,6.09727334976
103,8.00256872177
104,7.19299840927
105,3.56369018555
106,3.45333862305
107,6.30185127258
108,2.01914834976
109,5.19492959976
110,7.29846000671
111,2.59872627258
112,6.62952184677
113,6.8308506012
114,2.79220581055
115,5.35263252258
116,5.5828037262
117,4.95907783508
118,4.21749162674
119,5.496758461
120,5.778008461
121,7.69600725174
122,7.33273124695
123,4.96333932877
124,5.653008461
125,7.83894538879
126,4.83052682877
127,7.05183601379
128,6.3611240387
129,3.66033267975
130,5.6492099762
131,6.95861625671
132,3.92685127258
133,7.2986240387
134,6.58175468445
135,7.36324357986
136,6.67257499695
137,6.07296562195
138,6.44148445129
139,3.68326759338
140,6.70959997177
141,4.70471000671
142,4.14025688171
143,6.75742959976
144,6.78048706055
145,4.28755807877
146,5.3113193512
147,7.24533081055
148,6.00798892975
